"Reference","Stage","Reviewer","Decision","Reason","At"
"R-33","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T20:07:24.129Z"
"R-33","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:51.255Z"
"R-34","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:11:08.496Z"
"R-34","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:36:17.669Z"
"R-34","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:08:01.761Z"
"R-34","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:52.265Z"
"R-35","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:11:14.007Z"
"R-35","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:36:23.698Z"
"R-36","title-abstract","Bernardo Ibarra Infante","exclude","Outside date range","2026-09-07T19:11:25.060Z"
"R-36","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:36:29.819Z"
"R-37","title-abstract","Bernardo Ibarra Infante","exclude","Outside date range","2026-09-07T19:11:32.163Z"
"R-37","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:36:38.429Z"
"R-38","title-abstract","Bernardo Ibarra Infante","exclude","Outside date range","2026-09-07T19:11:40.533Z"
"R-38","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:36:43.004Z"
"R-39","title-abstract","Bernardo Ibarra Infante","exclude","Outside date range","2026-09-07T19:11:44.951Z"
"R-39","title-abstract","Remberto Sandoval Arechiga","exclude","Outside date range","2026-09-07T20:36:49.842Z"
"R-40","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:11:56.965Z"
"R-40","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:36:51.960Z"
"R-40","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:08:42.305Z"
"R-40","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:54.242Z"
"R-41","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:12:01.822Z"
"R-41","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:36:53.624Z"
"R-41","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:09:01.313Z"
"R-41","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:46:59.236Z"
"R-42","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:12:05.523Z"
"R-42","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:36:55.081Z"
"R-42","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:10:09.187Z"
"R-42","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:00.785Z"
"R-43","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:12:10.449Z"
